,RBF,Sigmoid,Linear
50,0.05167889595031738,0.04451918601989746,0.05788683891296387
100,0.13427305221557617,0.19738316535949707,0.0935201644897461
500,0.6079270839691162,0.9939990043640137,1.1400878429412842
1000,1.6011099815368652,1.9056272506713867,1.7261919975280762
