,0.0625,0.125,0.25,0.5,1.0,2.0
0.25,0.815,0.805,0.8,0.8,0.8,0.8
0.5,0.805,0.81,0.8,0.81,0.805,0.805
1.0,0.8,0.795,0.805,0.8,0.805,0.805
2.0,0.8,0.805,0.805,0.8,0.8,0.81
4.0,0.8,0.81,0.8,0.8,0.805,0.8
